2; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
3; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
4; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
5; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
6; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
7; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
8; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
9; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
10; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
11; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
12; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
13; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
14; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
15; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
16; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
17; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
18; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
19; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
20; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
21; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
22; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
23; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
24; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
25; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
26; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
27; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
28; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
29; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
30; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40

1; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
2; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
3; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
4; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
5; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
6; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
7; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
8; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
9; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
10; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
11; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
12; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
13; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
14; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
15; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
16; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
17; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
18; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
19; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
20; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
21; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
22; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
23; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
24; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
25; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
26; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 40
