1; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 10
2; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 100
3; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 30
4; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 80
5; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 40
6; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 80
7; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
8; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
9; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 40
10; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 80
11; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 40
12; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 100
13; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 100
14; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
15; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
16; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
17; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
18; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
19; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
20; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
21; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
22; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 120
23; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
24; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
25; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
26; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
27; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
28; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
29; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
30; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60

1; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 10
2; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 110
3; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
4; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
5; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
6; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
7; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
8; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
9; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
10; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
11; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
12; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
13; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
14; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
15; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; [inimigo5, (90, -50)]; 60
